title,description,genre
GUN CRAZY,Gun Crazy is a fast paced and hectic arcade style action shoot em’ up in this homage to classic old school classics. Become the fiercest lady on the police force! Take out the bad guys through 4 unique levels filled with challenging bosses and powerful special guns.,"Genre(s): Action, Platformer, 2D"
GUN-PILE,N/A,"Genre(s): Action, Shooter, Shoot-'Em-Up, Top-Down"
GUNBARICH,"Shoot back the enemy bullets! The breakout-like shooter with a variety of items and gimmicks!

GUNBARICH is a breakout-like shooter game that first appeared in arcades in 2001.

Control the flipper and shoot the pink ball = puck to break all the blocks to clear the stage.

You can set the difficulty level, life, number of continues, controls, screen orientation, item dropping speed, enemy bullet speed, and more.

In addition, now we have online rankings!

Be the world's best GUNBARICH!","Genre(s): Action, Shooter, Shoot-'Em-Up, Vertical"
GUNBIRD,"Uncover the magic mirror!
*Use your ""special attacks""
*Launch your bombs
*The most ambitious will prevail
*Keep your enemies from discovering the mirror!","Genre(s): Action, Shooter, Shoot-'Em-Up, Vertical"
GUNBIRD 2,"Straight from the hit arcade game, Gunbird 2 is the most intense test of coordination and skill. This action shooters features 7 characters on a quest for the magical ingredients to produce the All-Purpose Medicine. On a journey to see the wise medicine master, you are intercepted by a rowdy band of pirates. Now, maneuver through insane levels of enemy fire to pick up power-ups and other weapons and be the first to recover your stolen bounty and unlock the secret of the medicine master.","Genre(s): Action, Shooter, Shoot-'Em-Up, Vertical"
GUNBORG: DARK MATTERS,"Harness the power of dark energy as you, jump, slash, shoot and bombard your way through an army of alien soldiers and killer robots in an arcade style, action platformer with a slick 80's synthwave soundtrack.

Gunborg: Dark Matters is an arcade-style action platformer with smooth gameplay and a slick 80s synthwave soundtrack. The game takes place aboard a giant spaceship filled with a variety of traps, hazards, aliens and robots.

Do you have what it takes to face constant threats while staying on your feet in the heat of combat? Can you keep your cool when chaos is descending upon you?","Genre(s): Action, Platformer, 2D"
GUNDAM EVOLUTION,"GUNDAM EVOLUTION is an online free-to-play FPS title in which players take control of Mobile Suits from the hit Gundam anime and challenge other players online in six-versus-six objective based battles.

Featuring fast-paced action and immersive controls, players can switch between many different Mobile Suit Units to suit the ever changing battle conditions. Utilize their unique characteristics and cooperate with teammates to secure the win.","Genre(s): Action, Shooter, First-Person, Tactical"
GUNFIRE REBORN,"Gunfire Reborn is an Adventure level-based game featured with FPS, Roguelite and RPG. Players can control heros with different abilities to experience diverse Build gameplay, use randomly dropped weapons to adventure in random levels. This game can be played by single player, or Co-op up to four.
In this game, players' experience in each level is random. Every restart means brand new experience. You will meet different heroes' talents, weapons and items, different checkpoints and combat rhythms in different levels.

Game Features:

* FPS+Roguelite+RPG combined gameplay, construct diverse Build through death cycle for differnt experience
* Elaborate, yet randomized stage experience
* Over 100 different items and various weapons
* Many heroes and multiple game plus with different game mechanism
* Unique art style
* Co-op level-based adventure","Genre(s): Action, Shooter, First-Person, Arcade"
GUNGRAVE G.O.R.E,"In Gungrave G.O.R.E, play the gun-wielding badass anti-hero of your dreams as you mow down tons of enemies in a gory ballet of bullets and experience a story of vengeance, love and loyalty, all in a beautiful third-person action shooter, combining the best that Eastern and Western game design have to offer.

As the titular Gunslinger of Resurrection, you become the badass anti-hero of your dreams, an ultimate killing machine, brutalising your foes without mercy. Taking cover and retreating is not an option for Grave, he only ever goes full steam ahead, preferably right through his enemies.

Stylish third-person shooting meets close-range martial arts, creating seamlessly flowing action as you crush your enemies in a gory ballet of bullets. Utilise your unlimited ammo Cerberus pistols and your transformable EVO-coffin to unleash devastating combos in pursuit of maximum damage and style.","Genre(s): Action, Shooter, Third-Person, Arcade"
GUNKID 99,"Gunkid 99 is a fast and frantic SCORE CHASER shoot'em up platformer inspired by Super Crate Box and arcade style games. The goal of the game is to earn as high a score as you can by collecting weapon drops throughout a run (and thereby changing your weapon in the process). Unlock and play across numerous hand-crafted stages in two modes, dodging level hazards and fighting off a unique garden variety of enemies.

There are multiple hand-crafted stages across 5 different chapters that unlock as you progress. Each stage has a different layout with its own set and combinations of enemies, so craft your own unique play-styles and develop crazy combos for each stage with the numerous weapons and abilities at your disposal. Lay waste to endless hordes of enemies and compete for the High Score with your friends or on global leaderboards.","Genre(s): Action, Platformer, 2D"
GUNMETAL,N/A,"Genre(s): Action, General"
"GUNS, GORE & CANNOLI","Guns, Gore & Cannoli is a Tarantino-esque homage to the exploitation/grindhouse films from the 70ies, the gangster classics, and the old school 2D arcade shooters.","Genre(s): Action, Platformer, Shooter, Third-Person, 2D, Modern, Arcade"
"GUNS, GORE & CANNOLI 2","Guns, Gore & Cannoli 2 revives the good, old, action platform run & gun genre, but this time with a bunch of humor and buckets of blown off body parts. In this sequel to Guns, Gore & Cannoli, Vinnie Cannoli’s story continues and this time it’s personal.","Genre(s): Action, Shooter, Third-Person, Arcade"
GUNSCAPE,"Create, play and share your own FPS experiences. Mash-up your favourite classics into something amazing!","Genre(s): Action, Shooter, First-Person, Sci-Fi, Arcade"
GUNSCAPE: SEISMIC PACK,N/A,"Genre(s): Action, Shooter, First-Person, Arcade"
GUNTASTIC,"A fast paced couch and online arena brawler with comically violent, one-shot one-kill battles that last for just 25 seconds – after which anyone who's still alive is forcibly eliminated. Explode your friends in this frantic homage to the 16bit coin-op games of the past!","Genre(s): Action, Platformer, 2D"
GUNTECH 2,"Utopos Space Station was the new hope for humans. It failed. Never underestimate human greed. Your job is to clean up the mess. Fight alien life forms, rescue scientists, deliver vaccines to combat a deadly pandemic.

Guntech 2 is an ultimate retro-style shoot'em up based in space. Some would call it a cave-flyer. Whatever you call it, one thing is for sure - the game is packed full of non-stop action, loads of weapons and big explosions!","Genre(s): Action, Shooter, Shoot-'Em-Up, Top-Down"
GUNVOLT CHRONICLES: LUMINOUS AVENGER IX,Get ready for the apeX of 2D action! Inti Creates brings you speedy and stylish 2D action the likes of which you’ve never seen before! Experience the apeX of 2D action with Luminous Avenger iX!,"Genre(s): Action, Platformer, 2D"
GUNVOLT CHRONICLES: LUMINOUS AVENGER IX 2,Get ready to break into the new apeX of 2D action. Copen and Lola are back in Gunvolt Chronicles: Luminous Avenger iX 2!,"Genre(s): Action, Platformer, 2D"
GUNWORLD 2,"The sequel no one asked for, to the game that nobody liked! The Exaction Faction, an intergalactic troupe of super heroes, has come to arrest President Eagle! Explore GunWorld to level up, collect new gear, and hunt down the Faction members in this retro-inspired action/platformer/RPG hybrid.","Genre(s): Action, General"
GUNWORLD: XBOX ONE EDITION,"Plant seeds to grow guns! GunWorld is a love letter to 8-bit action games, it's an homage to everything great about classic game design and action heroes of the 1980s! An emphasis on high challenge and non-linear progression means GunWorld: Xbox One Edition is not for the faint of heart. Players will be challenged to complete a series of levels in any order they choose, unlocking new weaponry as they do. With each new piece of equipment additional options present themselves, encouraging experimentation and repeated level runs.","Genre(s): Action, Platformer, 2D"
GUTS 'N GOALS,"Beat your friends at a game of soccer, literally. Guts 'N Goals mixes arcade-style soccer with beat 'em up gameplay that results in a hilarious way to play soccer.","Genre(s): Sports, Team, Soccer, Arcade"
GUTS AND GLORY,"The objective is simple: Race to the finish line while everything tries to kill you.

Welcome to Guts and GloryThe craziest game show on earth, where ordinary people compete in extraordinary challenges of life and death, for glory!

The objective is simple: Race to the finish line while everything tries to kill you.

Dodge spinning saw blades, deadly spikes, explosives, turrets, and a growing list of other hazardswhile navigating insane tracks set in a wide variety of environments. A game full of LOLs and WTFs and OMGs, where failing can be just as much fun as winning. Do it to prove your awesomeness. Do it for the laughs. Do it for the glory!","Genre(s): Simulation, Vehicle, Civilian"
GUTWHALE,"Gutwhale is a finite action roguelike, taking place in the belly of a beast! Mastering the challenges of this game will involve managing the space between you and your ammo while fighting your way through a digestive system!

Descend deep down into the gut, keep your ammo close, unlock weird hats, and get crushed by a van! Levels are randomly generated and the final challenge mode can be played forever!","Genre(s): Action, General, Platformer, 2D"
GWENT: THE WITCHER CARD GAME,"In GWENT, gamers clash with their friends in fast-paced duels that combine bluffing, on-the-fly decision making and careful deck construction. The game is played over a best-of-three series of rounds, as players unleash their hand by slinging spells and diverse units with special abilities and use clever tricks to deceive their opponents.","Genre(s): Miscellaneous, Board / Card Game"
GWENT: THE WITCHER CARD GAME - CRIMSON CURSE,N/A,"Genre(s): Miscellaneous, Board / Card Game"
GYNOUG,"You are Wor, a winged battle master with the power to hurl bolts of energy and control the magical forces of nature. Your planet has been taken over by some of the most hideous creatures ever known! Crush these dangerous creatures and free the planet!","Genre(s): Action, Shooter, Shoot-'Em-Up, Horizontal"
HABROXIA,"Blast your way through a myriad of extra terrestrial incursions in this arcade-style scrolling shooter! Pilot the ship Habroxia through 15 levels featuring intense boss fights, rescue missions, shifting perspectives and untold surprises. Customize your ship to enhance your abilities, unlock the three endless side modes, and save the galaxy from a series of sinister invaders.","Genre(s): Action, Shooter, Shoot-'Em-Up, Horizontal"
HABROXIA 2,"Blast off for a sequel that pushes every facet of 2D shoot'em ups to escape velocity. In the aftermath of a brutal attack on Free Space, humanity sends scout ships to the star system that was at the source of the assault. But when one of the pilots doesn’t return home, it’s up to his daughter -- the talented starpilot Sabrina -- to find him. Habroxia 2 is a non-linear, old-school space shooter with upgrades, boss fights, and even New Game+, all wrapped in a retro package combining pixel graphics, chiptunes, and stellar gameplay.","Genre(s): Action, Shooter, Shoot-'Em-Up, Horizontal"
"HACK, SLASH & BACKSTAB","Hack, Slash & Backstab is a 1 - 4 player arcade dungeon crawler with a twist! Work together as warrior, rogue, wizard and archer to survive a dangerous world. But only one player will be crowned the winner: it becomes a fight to the death, as betrayal and backstab become the tools of choice.","Genre(s): Role-Playing, Action RPG"
HACKYZACK,"You are Zack. Juggle balls, bounce off walls and avoid fatal falls as you try to make it through more than 100 levels of precision puzzle-platforming. Collect stickers along the way to unlock optional time-trial challenge levels as well as extra playable characters (who are also extra cute!).","Genre(s): Action, Platformer, 2D"
HADES,"Defy the god of the dead as you hack and slash out of the Underworld in this rogue-like dungeon crawler from the creators of Bastion, Transistor, and Pyre.

Hades is a god-like rogue-like dungeon crawler that combines the best aspects of Supergiant's critically acclaimed titles, including the fast-paced action of Bastion, the rich atmosphere and depth of Transistor, and the character-driven storytelling of Pyre.

BATTLE OUT OF HELL
As the immortal Prince of the Underworld, you'll wield the powers and mythic weapons of Olympus to break free from the clutches of the god of the dead himself, while growing stronger and unraveling more of the story with each unique escape attempt.

UNLEASH THE FURY OF OLYMPUS
The Olympians have your back! Meet Zeus, Athena, Poseidon, and many more, and choose from their dozens of powerful Boons that enhance your abilities. There are thousands of viable character builds to discover as you go.

BEFRIEND GODS, GHOSTS, AND MONSTERS
A fully-voiced cast of colorful, larger-than-life characters is waiting to meet you! Grow your relationships with them, and experience thousands of unique story events as you learn about what's really at stake for this big, dysfunctional family.

BUILT FOR REPLAYABILITY
New surprises await each time you delve into the ever-shifting Underworld, whose guardian bosses will remember you. Use the powerful Mirror of Night to grow permanently stronger, and give yourself a leg up the next time you run away from home.

NOTHING IS IMPOSSIBLE
Permanent upgrades mean you don't have to be a god yourself to experience the exciting combat and gripping story. Though, if you happen to be one, crank up the challenge and get ready for some white-knuckle action that will put your well-practiced skills to the test.

SIGNATURE SUPERGIANT STYLE
The rich, atmospheric presentation and unique melding of gameplay and narrative that's been core to Supergiant's games is here in full force: spectacular hand-painted environments and a blood-pumping original score bring the Underworld to life.","Genre(s): Role-Playing, Action Adventure, Linear, Roguelike"
HAIMRIK,"This unique action adventure game lets you become Haimrik, a young scribe trying to make a living in a medieval town full of warriors, sorcerers, dragons and dragon-riding sorcerer-warriors. But one book changes his whole life. With the help of Masamba, a hungry lioness who will protect him while constantly trying to eat him, he’ll venture out to take on the evil king and his elite generals, the Word Warriors.","Genre(s): Action Adventure, General, Linear"
HALLOWEEN MAZE WORLD,Halloween Maze World is a puzzle game that combines classic mazes with Halloween elements. The game has a total of 560 levels and supports Xbox controllers and gamepads. Collect as many stars as possible in the game and reach the end. Have fun!,"Genre(s): Action, General"
HALO 5: GUARDIANS,"Peace has been devastated as colony worlds are unexpectedly attacked. What's more, when humanity's greatest hero goes missing, a new Spartan is assigned the task of hunting the Master Chief and solving a mystery that threatens the whole of the galaxy.","Genre(s): Shooter, Sci-Fi, Sci-Fi, Action, Shooter, First-Person, Arcade"
HALO INFINITE,"When all hope is lost and humanity’s fate hangs in the balance, the Master Chief is ready to confront the most ruthless foe he’s ever faced. Begin anew and step inside the armor of humanity’s greatest hero to experience an epic adventure and finally explore the scale of the Halo ring itself.","Genre(s): Action, Shooter, First-Person, Arcade"
HALO WARS 2,"Halo Wars 2 is a strategy game packed with fast-paced action, massive battles, and an all-new Halo story. Developed by Creative Assembly, a SEGA company and the creators of the popular “Total War™” series, in partnership with 343 Industries.","Genre(s): Strategy, Real-Time, General"
HALO WARS 2: AWAKENING THE NIGHTMARE,"Awakening the Nightmare is a brand-new full expansion for Halo Wars 2, featuring new campaign missions played from a Banished perspective, two new multiplayer leaders, two new multiplayer maps, and Terminus Firefight – a unique new cooperative mode where players build both bases and armies to defend and survive against an onslaught of enemy forces. [Microsoft]","Genre(s): Strategy, Real-Time, General"
HALO WARS 2: COMPLETE EDITION,"It's the Halo experience you've dreamed of controlling entire armies of Marines, Warthogs, Scorpion tanks, and Spartans on the battlefield from the Commander's point of view. Halo Wars 2: Complete Edition is the comprehensive version of the real-time strategy hit that includes ALL content for Halo Wars 2. And now you can play in native 4K Ultra HD graphics with HDR on the Xbox One X and Windows 10!

Halo Wars 2 includes an epic story taking place after the events of Halo 5, told across 12 campaign missions with ultra-realistic cinematics. Once you've honed your skills as a commander you can jump into a variety of multiplayer modes against the computer and play online with Xbox Live.

The Season Pass included with the Complete Edition grants you 7 additional leaders to use is Multiplayer and Blitz modes, as well as 2 additional campaign missions. Each leader includes a variety of new units and powerful leader abilities and will change the way you strategize on the battlefield.

The Complete Edition also includes Halo Wars 2: Awakening the Nightmare, the new expansion that allows you to play as Atriox's Banished forces in a fight against the awakened Flood. You'll get two new Banished leaders as well as the new co-op tower defense mode Terminus Firefight. In Terminus Firefight, play with up to two other players and defend your base against endless waves of enemy forces. *Online multiplayer on Xbox console requires Xbox Live Gold membership (sold separately)

Includes:
* Halo Wars 2 12 campaign missions playable solo or co-op online, 6 multiplayer leaders across the UNSC and Banished forces, a variety of traditional multiplayer modes, plus Blitz PVP and PVE
* Halo Wars 2: Season Pass 7 additional multiplayer leaders and 2 campaign missions
* Awakening the Nightmare 5 campaign missions, 2 new multiplayer leaders, and an all new tower-defense co-op mode Terminus Firefight","Genre(s): Strategy, Real-Time, General"
HALO WARS 2: ICONS OF WAR,N/A,"Genre(s): Strategy, Real-Time, General"
HALO WARS 2: SABRINA & OPERATION SPEARBREAKER,N/A,"Genre(s): Strategy, Real-Time, General"
HALO WARS: DEFINITIVE EDITION,Set early in the iconic war between the Covenant and UNSC - made famous by the Halo FPS games - Halo Wars: Definitive Edition provides a unique angle on the war while bringing new heroes to the battlefield. Control large Halo armies and direct them in action-packed warfare.,"Genre(s): Strategy, Real-Time, General, Command"
HALO: REACH REMASTERED,"Experience the heroic story of Noble Team, a group of Spartans, who through great sacrifice and courage, saved countless lives in the face of impossible odds. The planet Reach is humanity’s last line of defense between the encroaching Covenant and their ultimate goal, the destruction of Earth. If it falls, humanity will be pushed to the brink of destruction.","Genre(s): Action, Shooter, First-Person, Arcade"
HALO: SPARTAN ASSAULT,"Enlist as a Spartan soldier and sharpen your tactical skills in battle. Set between the events of ""Halo 3"" and ""Halo 4,"" Halo: Spartan Assault, developed by 343 Industries in conjunction with Vanguard Games, is a new chapter within the Halo universe. Spanning over 30 missions in vibrant, dangerous worlds, dive deeper into the backstory of Human-Covenant wars, the origins of the Spartan Ops program, and unravel a chilling mystery in Operation Hydra. Play through the eyes of either Commander Sarah Palmer or Spartan Davis stationed aboard the UNSC Infinity as they fight never-before-seen battles against Covenant forces. You can also join with a fellow Spartan on Xbox Live, in battle against the Flood.","Genre(s): Action, General, Shooter, Scrolling, Shoot-'Em-Up, Top-Down, Vertical"
HALO: THE MASTER CHIEF COLLECTION,"The Master Chief's complete story available one console. Features a re-mastered Halo 2: Anniversary, along with Halo: Combat Evolved Anniversary, Halo 3, and Halo 4, new digital series, Halo: Nightfall, and access to the Halo 5: Guardians Beta.","Genre(s): Miscellaneous, Compilation, Action, Shooter, First-Person, Sci-Fi, Arcade"
HAMBURGERS VS EGGS,N/A,"Genre(s): Action, General, Arcade"
HAMMERWATCH,N/A,"Genre(s): Action, General"
HAND BALL PELOTA LIVE EDITION,"Discover the famous hand ball pelota game. If you know pelota, you'll enjoy a realistic still very playable simulation of this sport. If not, you'll very quickly get graps of this game where you hit ball with hand towards a fronton and try to keep it away for your opponent.","Genre(s): Sports, Individual, Other"
HAND OF FATE,"In Hand of Fate, players collect equipment, items, artifacts and enemies as in-game collectible cards in a card based RPG; then play their deck, bringing to video game life a beautiful 3D world in which gamers make difficult decisions. Sometimes their choices have unexpected consequences and players must crush their foes utilizing a third person action-adventure combat system. The more bosses a player defeats, the more cards they obtain.","Genre(s): Role-Playing, Miscellaneous, General, Board / Card Game"
HAND OF FATE 2,Hand of Fate 2 is a dungeon crawler set in a world of dark fantasy. Master a living board game where every stage of the adventure is drawn from a deck of legendary encounters chosen by you.,"Genre(s): Miscellaneous, Board / Card Game"
HAND OF FATE 2: THE SERVANT AND THE BEAST,"Hand of Fate 2: The Servant and the Beast DLC evolves the Game of Life and Death once again with a brand new campaign challenge and a unique companion character.

In the depths of despair, you struck a bargain with a strange new ally: your blood for freedom. But now your captors seek to drag you back to their cruel fighting pits, and the monstrous beast you serve demands more and more of you in order to achieve his ultimate goal - revenge against his conspirators and the reclamation of his throne.

This DLC includes a new campaign challenge, a new companion, a new companion quest chain, new utility encounters and new pieces of equipment to unlock. This content requires the base game Hand of Fate 2 in order to play.","Genre(s): Miscellaneous, Board / Card Game"
HAND OF THE GODS: SMITE TACTICS,"Collectible card games and turn-based strategy collide in Hand of the Gods. Wage divine war by summoning the Gods to a full 3D battlefield. Move your forces into position, then unleash divine powers to defeat your foes. Can you Command the Gods?","Genre(s): Strategy, Turn-Based, Tactics"
HANDBALL 16,"Play with all your favorite teams in Handball 16, the first handball simulation. Discover a realistic game system, using a new physics and rendering engine, and enjoy fully redesigned controls for a more accessible game experience. Use all the real handball moves and tactics: the spin shot, hip shot, fake, dodge and jump shot. Play with all 68 teams from the three biggest European leagues, with all the players, kits and official statistics of the 2015-2016 season. Learn how to play with a help system that adapts to your play style and evolves as you progress.","Genre(s): Sports, General, Team, Other"
HANDBALL 17,"Handball 17 features redesigned controls, dynamic artificial intelligence, single player Season and Career modes, local and online multiplayer modes, and several levels of difficulty.","Genre(s): Sports, Team, Other"
HANDBALL 21,"After four years, eko software returns with a new edition of the game that sets the standard for Handball simulations. Building on the studio's experience in sports games, in-depth S with the fan community and input from Handball experts, eko will deliver an ultra-realistic gaming experience. With new animations, enhanced AI, new game modes and more official content than ever, players will experience all the emotions and sensations of their favourite sport with Handball 21. Features: extensive officially licensed content: Handball 21 includes the four major European leagues and several second Division leagues, for a total of 1, 600 Handball players represented in the game. Play as some of the world's top players, such as Nikola karabatic and melvyn Richardson. New game modes: solo, multiplayer, local and online - Handball 21 also features new game modes such as League mode, in which you follow the career of a player and manage his team. In solo mode, you can create your own team, recruit players and enter tournaments. Deeper and improved gameplay: players can enjoy new game options such as defence tactics, custom set plays, and redesigned AI. A faithful and realistic simulation: the stadiums have been recreated from the ground up, while the players' 3D models and animations are more realistic thanks to motion capture.","Genre(s): Sports, Team, Other"
HAPPI BASUDEI,"Oldschool platformer which you found on an untitled random cartridge, where you win by doing nothing. Well... except evading.","Genre(s): Arcade, Action, Platformer, 2D"
HAPPY DUNGEONS,Cut loose in Happy Dungeons with three little minions and up to four of your lunatic friends to get your dose of Happiness! Vibrant graphics. Bizarre world. And co-op high-speed action.,"Genre(s): Role-Playing, Action RPG"
HAPPY WARS,"Happy Wars is a casual multi-player action game in which a large number of players control comical characters in fun battles. In a variety of fantasy battlefields including grasslands, a dark world, and the ocean floor, players can control any of 3 types of characters: warrior, mage, and cleric. Cooperate with friends to enjoy action on the grand scale, casting magic spells, attacking castles, and so on. For off-line fun, the player can take on missions in the solo campaign mode.","Genre(s): Action, General"
HAPPY'S HUMBLE BURGER FARM,"Welcome back to the Happy's Humble franchise! You have been hired to manage a wildly popular (but aging) fast food restaurant, Happy's Humble Burger Farm. Serve customers at the Farm, or explore New Elysian City and it's many attractions such as the Jazzy Java Joint, Quick Qure, Steal 'n' Sell, New Elysian Museum, and more!

Check in with your on-site manager Toe, and get to work! Get movin' and groovin' as you sling chilled beef patties like an absolute hamburger hero Tend to customers, and don't mess up - any infractions are taken out of your daily payment! If you're feeling confident, flip on the drive-thru and get a second set of customers flowing in. But be careful, things may just get too hectic to keep a hold on, and then Happy might get mad. You don't want Happy to get upset....trust us.","Genre(s): Simulation, Virtual, Career"
HARBOR CRANE CHALLENGE,N/A,"Genre(s): Simulation, Vehicle, Civilian"
HARD RESET REDUX,"An action-focused and hardcore single-player shooter which embraces the paradigmatic qualities that the genre has it offer. It includes over-the-top destruction, myriads of enemies, weapon variety, a challenging campaign and a cyberpunk setting.","Genre(s): Action, Shooter, First-Person, Arcade"
HARD WEST ULTIMATE EDITION,"Welcome to the Wild West as you've never seen before. Follow Warren on his descent into the darkest recesses of the human soul, and try to survive in a world full of hard choices and even harder consequences. Because in this world, death is a constant presence and the black pacts which you make with forces beyond human comprehension will forever haunt all those around you.

Journey deeper into the world of Hard West and meet a colorful cast of playable characters whose fates are intimately intertwined with yours. Together you will need to make divisive choices to uncover the ultimate plans of the ancient powers at play, as you unravel a deep narrative storyline featuring multiple endings depending on the choices you make during the game.","Genre(s): Strategy, Turn-Based, Tactics"
HARDCUBE,"HardCube is an arcade platformer for all fans of hardcore games.

A simple but gripping casual game to pass the time with lots of unusual settings, levels and worlds. Sleek graphics and dynamic gameplay accompanied by a fun OST and an online rating system.

In this fun and exciting game you won't just have to get to the finish line. You'll need to overcome a lot of obstacles while exploring this colorful world, going through one level after another.","Genre(s): Action, Puzzle, Platformer, 3D"
HARVEST LIFE,"Put on those rubber boots and fetch your pitchfork!

Get your organic farm going! Depending on the weather and the local villagers' demands you tend to your fields and take care of your livestock. Sell your products in your farm store to expand your farm. Exciting challenges will add even more adventure to your gameplay. Will you manage to get the carriage through the woods before the wolves get it? Will you find the lost dog in the creepy catacombs? And will you finally win your sweetheart's love?

Show your mettle as an adventurous organic farmer! And then you might be in for a romantic happy ending.","Genre(s): Strategy, Management, Business / Tycoon"
HARVEST MOON: LIGHT OF HOPE SPECIAL EDITION COMPLETE,"Looking for a fresh start and some new surroundings, you set off on a voyage to begin your new life. Unfortunately, the weather has different plans, as your ship is hit by a storm, and goes down! You drift into a small harbor town, now in shambles from the storm, where a young doctor named Jeanne saves your life. The town has been deserted, but you're never one to back down from a challenge! It will be up to you to help rebuild the town and save the lighthouse...but it won't be easy! Nevertheless, with some hard work growing crops, tending livestock, and gathering materials for repairs, you will be able to make new friends, start a family, revive the lighthouse, and save the town, your new home. The Complete Version includes the full game and ALL THE DLC: Four new marriage candidates, decorations, outfits, requests, and more!","Genre(s): Strategy, Management, Business / Tycoon"
HARVEST MOON: MAD DASH,"Go solo or take along a few friends in this fast-paced farming frenzy!
Harvest, fish, milk, and more as you fulfill orders to complete each level, but watch out for molten lava, raging boars, and other obstacles!","Genre(s): Strategy, Management, Business / Tycoon"
HARVEST MOON: ONE WORLD,"Before the Harvest Goddess disappeared from this world, she imbued the tiny Harvest Wisps with the knowledge of various seeds, thus ensuring the various fruits and vegetables of the world would not be lost. Using the power given to these Harvest Wisps, you'll unlock various seeds as you progress through the game! But the Harvest Wisps can be tricky to find, as they all appear at different times and places. You'll need to use your noggin to make sure to seek as many as you can of them out!

Trek across beaches, the desert, and even a volcano in the latest entry into the long-running Harvest Moon series! The Harvest Goddess has gone missing, and it's up to you to help bring her back! Along the way, you'll come across cows, sheep, camels, and even reindeer! Dig in, because in this game, the world is literally your oyster!","Genre(s): Strategy, Management, Business / Tycoon"
HAS-BEEN HEROES,"Embark on an epic journey with the Has-Been Heroes, a group of legendary champions once celebrated throughout the kingdom - almost forgotten until the King has one more quest, the most epic of them all:

TO TAKE THE TWIN PRINCESSES TO SCHOOL!

Key features:

* Meet the epic band of heroes as the young and eager Rogue, joining the company of the wise monk Metacles, the giant-wrestling warrior Crux... wait until you meet the others, incl. the Anthropologist turned Mexican Wrestler, the ever-vigilant and paranoid Bodyguard, and many more!

* Unlock and collect hundreds of game-changing items and spells, boosting the heroes' powers and making each run unique!

* Combine spells for devastating effects, learning the power of magic as you gain more elements.

* Face countless monsters, each bigger and more menacing than the next. Can you wipe out the army of evil led by the Great Ghoul?

* In roguelike fashion, die and try again - choose your heroes wisely and prepare for battle!","Genre(s): Strategy, Turn-Based, General, Tactics"
HASBRO FAMILY FUN PACK,"Hasbro Family Fun Pack is a brand-new compilation of endless fun. Family game nights have been reinvented, providing hours of entertainment with four classic titles. With modern twists and exciting new ways to play, your favorite Hasbro games have never been more enjoyable!

GREAT VALUE - Four classic titles in one bundle, providing hours of entertainment!
MONOPOLY Plus - Play the MONOPOLY you know and love set in a beautiful 3D world - watch the board come to life!
RISK - Compete with players from around the world in this classic game of global domination.
TRIVIAL PURSUIT Live! - Featuring unique question formats and diverse rounds - it's never been so fun for everyone.
SCRABBLE - Challenge opponents in person or online, and test your word skills with new game modes!","Genre(s): Miscellaneous, Compilation"
HASBRO FAMILY FUN PACK: CONQUEST EDITION,N/A,"Genre(s): Miscellaneous, Compilation"
HASTE THE FAST PACED SHOOTER,N/A,"Genre(s): Action, General"
HATSUNE MIKU JIGSAW PUZZLE,"Multiplayer jigsaw puzzle has been released!

You can play on your own, or share controllers with your friend and play up to 2 players co-op!

39 illustrations are available! Choose your favorite illustration and play the jigsaw puzzle!

Anyone from kids to adults can enjoy the puzzles! You can select the difficulty of all the puzzles by choosing from 3 sizes: Easy (63 pieces), Normal (130 pieces) and Hard (300 pieces).

10 Piapro public collaboration songs made specially for ""Hatsune Miku Jigsaw Puzzle"" are included. Enjoy playing puzzles to great songs!","Genre(s): Puzzle, General"
HATSUNE MIKU LOGIC PAINT S,"Hatsune Miku puzzle game is here!

Includes difficulty levels from LV1 to LV3 and special stages!
When you clear the stage, you will get illustrations of Hatsune Miku!

Clear many stages and collect gorgeous illustrations! !","Genre(s): Puzzle, Logic"
HATUP,Take the role of a little purple humanoid as he navigates tricky puzzle stages that change depending on whether he’s wearing his fez-style hat or not! Hatup is a precision platformer with single-screen stages where the objective is to avoid spikes and other traps while collecting keys and toggling platforms on and off.,"Genre(s): Action, Adventure, General, Platformer, 2D"
HAUNTED: HALLOWEEN '86 - THE CURSE OF POSSUM HOLLOW,N/A,"Genre(s): Action, General"
HAVE HOPE,N/A,"Genre(s): Action, Arcade"
HAVEN,"Does love truly conquer all? Two lovers gave up everything, left their entire lives behind, and escaped to a lost planet to be together. Play these lovers, Yu and Kay, at the same time as they settle into an unknown and eerie world. Explore the planet searching for parts and material to fix their ship and make it a cosy home. Enjoy life together as a relatable couple cooking meals, crafting, collecting resources and engaging in meaningful conversations. Fight against those trying to tear them apart by synchroniSing their actions in combat, finding the perfect timing and rhythm, while controlling both characters simultaneously. Glide through the mysterious landscape, explore a fragmented world and fight against what’s trying to tear them apart in this RPG adventure about love, rebellion, and freedom.","Genre(s): Adventure, General"
HAVOC BALL,N/A,"Genre(s): Action, Platformer, 2D"
HAWKEN,Hawken is a multiplayer mech combat game. The focus is on creating an intense and enjoyable battle experience that captures the feeling of piloting a heavy war machine while keeping the action fast-paced and strategic.,"Genre(s): Action, General, Shooter, First-Person, Tactical"
