title,description,genres
MY JURASSIC FARM,"At the beginning of the game, all you own is an empty field, a few pennies and a single little compsognathus... You need to feed your compsognathus, take care of it and improve its lifestyle. Well fed with meat, your compsognathus will lay eggs which can then be sold to the Shopkeeper. With this money, you can buy new animals at the Farmers Market...

-10 kinds of animals to customize!
-Take care of your animals: food, clean, disease, etc.
-Many farm improvement to buy and bonuses to collect!","Genre(s): Simulation, Miscellaneous, Virtual, Virtual Life"
MY STYLE STUDIO: HAIR SALON,"Wash, color, cut, curl and style, make any hair style you want.

Choose between five cute characters and cut and style them in whatever way you want. Use lots of different tools from a simple scissors to a curling iron and decorate the final look with hats, glasses and other fun accessories.

-Realistic hair styling
-5 cute characters
-13 different tools
-Lots of different accessories: hats, glasses and much more
-Smooth and beautiful animations","Genre(s): Simulation, Miscellaneous, General, Virtual, Career"
MY STYLE STUDIO: NOTEBOOK,"Create fantastic paintings, sketch, take notes or make a flipbook animation.

This is the right place where players of all ages can enjoy painting. A full set of powerful yet easy-to-use image editing tools. Use the pen or pencil to sketch or make your notes, use the brush and smudge tool to paint gorgeous artwork. Mix your photos with drawings and paintings or make a flipbook animation. You can also personalize your notebook by drawing on the cover.

When youre done, share your creation by posting to Miiverse!

-5 painting tools, 2 rubbers
-30 stamps
-special smudge tool
-personalized cover
-take photos and mix them
-make a flipbook animation","Genre(s): Miscellaneous, Application"
NANO ASSAULT NEO,Nano Assault Neo is a fast paced shoot'em'up set in a microscopic world.,"Genre(s): Action, Shooter, Shooter, Scrolling, Scrolling, Shoot-'Em-Up, Top-Down"
NBA 2K13,"Featuring an enhanced MyCAREER mode and new gameplay features, NBA 2K13 lets gamers pit the best players in NBA history against the new dynasty of talent, including the much-debated matchup between the 2012 U.S. Men’s National Team and the 1992 “Dream Team.”","Genre(s): Sports, Traditional, Team, Basketball, Sim, Sim"
NEAR EARTH OBJECTS,"Shoot rocks. Get POW. Survive!

NEOs, or 'near earth objects' are an emergent threat to all life on this planet. Blast off into space and destroy them all to preserve life as we know it back on Earth! Neo-retro arcade style shooting designed to challenge and enthrall. Shoot rocks, get POW. Survive.

Featuring a '90 Euro/rave-inspired soundtrack, over 120 waves of sadistic space shootables and graphics in tribute (albeit loosely) to old CGA games, this is going to knock your socks off - hope you bought a spare pair.","Genre(s): Action, Shooter, Shoot-'Em-Up, Top-Down"
NEED FOR SPEED: MOST WANTED U,"Need for Speed: Most Wanted is an open world Racing game. The game is the 19th release in the long-running Need for Speed franchise, but hearkens back to the earliest games in the series as players compete in races with police unified against them. Races have a set beginning and end point, with the open world game design allowing players to complete each using whatever path they can find. Additional features include a unique blend of Simulation and Arcade gameplay, social play options through the Autolog 2 feature, exciting multiplayer support, and a large selection of performance vehicles.","Genre(s): Driving, Racing, Simulation, GT / Street, GT / Street, Automobile"
NEON BATTLE,"Bounce into the game that changes the rules.

Maneuver your way around the circular battlefield to victory in Neon Battle! Smash your opponent out of the way and yell obscenities at them without the threat of assault charges! Well, that's assuming you keep it in the game, with four different game modes to choose from and a selection of powerups, it's arguably more fun than smashing someone in real life, and definitely more fun than attending court hearings! Play solo or against a friend in a race to collect points by bouncing the ball and keeping it from going out of bounds! And for when your friends are busy/non-existent, you can play against the CPU!","Genre(s): Action, Arcade"
NES REMIX,NES Remix is a compilation title available in the Nintendo eShop on Wii U that brings together 16 classic NES games and updates with more modern challenges.,"Genre(s): Miscellaneous, General, Party / Minigame"
NES REMIX 2,"This second installment of the mashup of classic Nintendo games features challenges from later NES games like Super Mario Bros. 3, Kirbyâ€™s Adventure and Metroid. Just like NES Remix, the sequel includes stages from the original games with new challenges, as well as modified stages that introduce new elements.","Genre(s): Miscellaneous, General, Party / Minigame"
NES REMIX PACK,"Throw your hat in the right for an onslaught of rapid-fire challenges and mash-ups of over twenty-five retro games from the NES era. Improve your scores by replaying stages, then share your replays with other players online.","Genre(s): Miscellaneous, Compilation"
NEVER ALONE,"Gather close and I will tell you an unipkaaq, a story that has been passed to me from generations past. I learned this tale from Nasruk many years ago. He told me that there is great wisdom in listening for those who are willing to hear. Remember, when you are part of the Inupiat people, you are never alone. This is a story inspired by Kunuuksaayuka. The story of an endless blizzard that threatens the survival of our people. A story of a dangerous and cold journey at the top of the world. A story of bravery and true friendship. Come play my story. You are Girl and Fox, crossing dangerous lands, facing icy peril. Meet fantastic creatures and visit lost villages. Discover the mysteries and beauty of the helping spirits that are hidden in the world around us. Work together to overcome the challenges and obstacles that Nature will throw against you. Alone you cannot survive. But together you just might - if you can use each others strengths wisely and you refuse to surrender to the wind and snow and dangers that stalk the frozen North. Succeed and you will restore balance to the land. Fail and all will be lost.

Never Alone is an atmospheric puzzle platformer for 1- or 2-players built in partnership with the Alaska Native community. It delves deeply into the traditional lore of the Inupiat people of the Arctic to present a game experience like no other.
-Play as both Girl and Fox - switch between the two characters at any time. Girl and Fox must work together to overcome challenges and puzzles as each has unique skills and abilities. A second player can join at any time for local co-op play.
-Explore perilous Arctic environments, from tundra to coastal villages, from ice floes to a mysterious forest.
-Brace yourself against gale-force winds and blizzards; face treacherous mountains.
-Meet fascinating characters from Inupiaq folklore - Manslayer, the Little People, Helping Spirits, Blizzard Man and more. Never Alone was crafted in partnership with Alaska Native elders and storytellers for true authenticity.
-Hear the story of Kunuuksaayuka as told by a master Inupiat storyteller in the spoken Inupiaq language -- a first for a commercial video game.
-Unlock special video Insights recorded with the Inupiaq community to share their wisdom, stories and perspective. The downloadable version of this game supports English, French, Italian, German, Spanish, Portuguese, Russian, Japanese, Korean.","Genre(s): Action, Platformer, 2D"
NEW SUPER LUIGI U,"To continue the fun of New Super Mario Bros. U for Wii U, Nintendo is letting Luigi take over in new downloadable content that is coming in the Year of Luigi that provides alternate versions of the game's more than 80 stages. Players can freely change between the New Super Luigi U and New Super Mario Bros. U stages. These Luigi-focused stages provide a whole new level of game-play challenge and will be available for purchase as a single download.","Genre(s): Action, Platformer, Platformer, 2D, 2D"
NEW SUPER MARIO BROS. U,"It was just another dinner at the castle with Mario, Luigi, Toad, and Princess Peach... Until suddenly the vicious Koopa fleet invades Mushroom kingdom airspace and launches a full-scale assault! With Bowser at the helm and his Koopalings each in their own custom airships, the castle is under attack with the Princess trapped inside—and the heroes have been cast out to the four corners of the Mushroom Kingdom. Will they make it back in time to save the day?","Genre(s): Action, Platformer, Platformer, 2D, 2D"
NEW SUPER MARIO BROS. U + NEW SUPER LUIGI U,"NEW SUPER MARIO BROS. U
An all new Mario adventure-only on Wii U!

Discover new ways to play with the Wii U GamePad, and push your Mario skills to the limit with the new Challenge and Boost Rush modes.

Share your game experiences with friends by posting to the World Map with Miiverse.

Includes over 200 Bonus Videos full of tips and tricks to help improve your skills!

NEW SUPER LUIGI U
It's Luigi Time!

Play through 82 all-new challenging courses with Luigi's increased jump height and Nabbit's invincibility!","Genre(s): Action, Platformer, 2D"
NIHILUMBRA,"Nihilumbra is a dark, atmospheric 2D puzzle platform game boasting hand painted dark environments, nightmarish monsters, and a hauntingly beautiful soundtrack. It tells a story that really panders to the existential dread lurking within us all.","Genre(s): Action, Adventure, General, Platformer, 2D"
NINJA GAIDEN 3: RAZOR'S EDGE,"NINJA GAIDEN 3: Razor's Edge promises to be a leaner, tighter experience than the original game. Significantly reduced scripted sequences, streamlined game flow, and improved A.I. complement an array of new features exclusive to the Wii U console.","Genre(s): Action, Action Adventure, Platformer, General, Platformer, 3D, 3D"
NINJA PIZZA GIRL,"Ninja Pizza Girl is a serious game about self-esteem, bullying and resilience and pizza delivering ninjas!

Its deeply-woven story follows Gemma, a sixteen-year-old girl working as a pizza delivery ninja for her fathers independent Pizzeria. In a world where slums teeter on top of skyscrapers, where powerful mega-corporations exploit the poor and where quality pizza is hard to come by, Gemma must fight to keep her ideals, her family and their business intact in face of the most merciless enemies known to any teenage girl other teenagers.

Ninja Pizza Girl. For Honour. For Family. For Pizza.","Genre(s): Action, Platformer, 2D"
NINJA STRIKE: DANGEROUS DASH,"Run, fly, and slash enemies to get the stolen treasures back! Be sure to check out this high-speed, action-packed, side-scrolling title in Natsume's Ninja series! Whether you go with strength or triple jumping, there is a ninja for you! Choose from 5 different ninjas, each with their own special characteristics. You'll face much more than just run-of-the-mill henchmen! Use your hard-earned coins to level up a variety of skills that will help you get further and make you tougher! Pick the skills that best fit your playing style! How far can you go?","Genre(s): Action, General, Platformer, 2D"
NINTENDO LAND,"Nintendo Land is a theme park featuring 12 different attractions, each with its own play on a Nintendo franchise. Each attraction features it's own special gameplay experiences made possible by the Wii U controller. Depending on the particular attraction, players can compete individually or against other players, or even team up to play cooperatively. Up to 5 players can participate in dynamic multiplayer modes in select attractions. The experiences change each time, depending on whether players are using the GamePad, holding a Wii Remote or just watching others play on the TV screen.","Genre(s): Miscellaneous, Party, Party, Party / Minigame"
NOITU LOVE: DEVOLUTION,"The year is 2288. The city is protected by an organization called ""The Peacekeepers League"" and everything is swell except for that it's under attack! By a robot army lead by professor Darnacus Damnation!! Or is it... ?

100 years after the events of Noitu Love 1 the new star of the Peacekeepers is Xoda Rap, and what she has to endure is a sudden resurrection of the Darn armies, but adding to that the city is locally turning to places of the past! What could be causing this?

Using a mouse reticule as a quick-dash-to-enemies and mouse gestures for special moves, Xoda will take on anything that stands in her way in the name of peace! The game shares little in pacing and action to Noitu Love 1. It is more of a continuation on that universe, so expect much more mindless action!

Features:

- 7 wholly different levels
- 3 modes of playing the game
- 3 difficulty levels befitting most players
- Several bosses per level
- Ratings for every level, difficulty and mode
- A bunch of secrets and more!!","Genre(s): Action, Beat-'Em-Up, 2D"
NOVA-111,NOVA-111 is a sci-fi themed turn-based adventure game with a twist of real-time action. Navigate your trusty orange science vessel as you voyage through mysterious planets in search for the famed scientists who were lost into the cosmic REAL-TIME vortex.,"Genre(s): Sci-Fi, Strategy, Turn-Based, General"
NOW I KNOW MY ABCS,"A fun way to learn the alphabet.

Now I Know My ABC's is a fun and interactive way to learn the alphabet. Using the Touch Screen on the Wii U GamePad your goal is to write every letter in both lowercase and uppercase. Each letter is associated with a color. You can press the letter's icon at anytime to hear how the letter is pronounced. After you complete writing a letter the crowd cheers for you, giving positive reinforcement to help encourage the learning of even more letters!","Genre(s): Miscellaneous, Edutainment"
OCTOCOPTER: SUPER SUB SQUID ESCAPE,"Lost in the depths of the ocean and spinning out of control, can you help the Octocopter to Super Sub Squid Escape?

Oh no! Part way through their epic battle the Octopus and Submarine have lost their way and sunk to the bottom of the ocean. Can you help them to work together to escape these deadly depths? To complete each level you must navigate the maze without crashing. You won't stop spinning so timing is everything!","Genre(s): Action, Simulation, General, Marine, Combat"
OCTODAD: DADLIEST CATCH,"Octodad: Dadliest Catch is the sequel to the splash hit, Octodad! This time, our cephaloprotagonist has gotten himself in a bind between his wifes mounting mistrust, and a disastrous trip to the local aquarium! Are you dad enough to control the titular octopus father as he strives to hide his nautical nature from his family while keeping his tangled tentacles intact?","Genre(s): Adventure, 3D, Third-Person"
ODDWORLD: ABE'S ODDYSEE - NEW 'N' TASTY,"Rescue your fellow meat factory slaves in this nostalgic, classic platformer with the latest immersive graphics and design.

Find your destiny

Once a happy floor waxer in Oddworld's biggest meat processing plant, Abe stumbled across his boss's secret plan to turn the factory's slave labour force into the latest in the RuptureFarms Tasty Treats line of novelty meat snacks.

Abe now has to save his own skin from the grinders even if simply escaping the flesh farm is only the start of his Oddysee. Trigger-happy hunting parties, carnivorous sacred beasts, ancient temple traps and even a return to his former workplace await Abe on his journey to discover his people's heritage.","Genre(s): Action, Platformer, Platformer, 2D, 2D"
OHAYOU! BEGINNER'S JAPANESE,"It's time to learn Japanese! Join Asuka and Kenji as they take you through a world of Hiragana and Katakana!

Have you always been interested in learning Japanese? Asuka and Kenji are here to help guide you along the path to learning how to read Japanese Hiragana and Katakana. Use digital flash cards to learn how to both write and how to pronounce each character. And when you think you've gotten a grasp of the language, you can participate in a memory game of over 60 lessons requiring you to use your finger to ""cut"" across the matching Hiragana or Katakana. If you get past these lessons, you will surely learn the basics of the Japanese language!","Genre(s): Miscellaneous, Edutainment"
OLLIOLLI,"OlliOlli mixes one-life gameplay with over 120 tricks and grinds across 50 deviously crafted levels, 250 Challenges, Spots Mode and Daily Grind. Not enough for you? Complete all challenges to unlock the super skilful RAD Mode. Rack up the biggest and coolest combos along the way then time your landing to perfection to rule the leader-boards. Compete across the world in all modes to get the highest scores on every Level and Spot.","Genre(s): Sports, Individual, Skate / Skateboard"
OLYMPIA RISING,"Iola is a young warrior who has been cast into the Underworld after meeting an untimely end. She must navigate through the various twisted regions of Hades' domain, fighting through hordes of deadly creatures as she attempts to escape and make her way to Mount Olympus. Jump, climb, slash and incinerate your way through each stage.

Fast-paced aerial combat propels you up through the Underworld as you defeat enemies with your blade and destroy them with powerful magic. Navigate through deadly environments with fluid maneuverability, looking for the most efficient way to climb to the top.

Chain together deadly combos as you jump through the air, and build up a big combo to earn coins and pay Charon the Ferryman in order to pass through the many gates of the Underworld. Explore six unique, twisted environments of the Underworld, each offering different challenges, creatures and fierce boss encounters to overcome.","Genre(s): Action, Platformer, 2D"
ONE PIECE: UNLIMITED WORLD RED,"Set sail on a gripping adventure in the New World with the beloved Straw Hat Crew in ONE PIECE Unlimited World Red. Dive into a wayfaring journey with fun-filled escapades, action-packed battles and powerful comrades in a whole new never-before- seen scenario. Play as members of the Straw Hat crew and progress through the episodic storyline with encounters against famous bosses like Rob Lucci, Caesar Clown, and more. Master a large variation of flashy combos and test your reflexes by pressing the right button at the right time to counter, dodge or otherwise interact with enemies. Enjoy endless playability by exploring the central town and taking on quests to assist the townfolk and gain more rewards and items.","Genre(s): Action, Action Adventure, General"
ORBIT,"In ORBIT you must guard your base by erecting a barrier to keep enemy ships out, at the right moment, scoring points along the way. Endless fun for everyone!","Genre(s): Action, Arcade"
OUTSIDE THE REALM,"Use the Wii U GamePad to control Amos the Astronaut as he travels through space collecting crystals for an alien merchant. Solve puzzles and dodge enemies to grab crystals and reach your ship safely. Travel outside the realm of your capability by solving puzzles in different regions of space. Enjoy bonus side-scrolling levels with lines of enemy aliens. Venture far, outside the realm.","Genre(s): Action, Arcade"
OVERWORLD DEFENDER REMIX,"Defend the Overworld in this exciting new action game! Music by Buskerdroid

Be a hero in this exciting new arcade shooter by using the Wii U GamePad or Wii Remote (Or both for 2 players!) Set to a retro-inspired soundtrack by Italian chiptunes musician Buskerdroid, prepare to defend the Overworld and save the Overworld Galaxy!","Genre(s): Action, Arcade"
PAC-MAN AND THE GHOSTLY ADVENTURES,"Pac-Man and the Ghostly Adventures has players take the role of Pac and his 2 best friends, Spiral and Cylindria, as they must rise to the challenge of protecting their homeland from the menacing ghosts that have escaped from the Netherworld.","Genre(s): Action, Platformer, 3D"
PAC-MAN AND THE GHOSTLY ADVENTURES 2,"The gang is back! Following the colorful characters and world of the PAC-MAN and the Ghostly Adventures animated series,
PAC-MAN and the Ghostly Adventures 2 will feature PAC-MAN, Spiral and Cylindria in an all-new storyline as they defend
PacWorld from the ghoulish army of Lord Betrayus.","Genre(s): Action, Platformer, 3D"
PANDA LOVE,"Help the pandas find love! In PANDA LOVE, run and jump through over 20 fun-filled levels to help the pandas find love again. Many obstacles such as high jumps, spikes, disappearing platforms and more stand in the way of your journey. Use the Wii U GamePad to experience the game with off-TV play.","Genre(s): Action, Platformer, 2D"
PAPARAZZI,"Avoid the paparazzi. Catch the celebrity. It's a game of cat and mouse.

Celebrity and paparazzi go head-to-head in this 2-player action/party game. The paparazzi must snap quick pictures of the celebrity, while the celebrity tries to escape to the limo with their dignity. Each level is a tug of war between the paparazzi's money and the celebrity's dignity. The game includes 6 unique levels, including a movie studio backot, a night club, and a high-class ball. The celebrity can play as one of 7 silly characters, anywhere from a mulleted movie star to a bear on a tricycle.","Genre(s): Miscellaneous, Party, Party / Minigame"
PAPER MARIO: COLOR SPLASH,There’s a mystery on Prism Island. The solution? Mario. Someone's been draining the color from Prism Island! Can you help Mario unravel the mystery and use the power of paint to restore the island? [Nintendo],"Genre(s): Role-Playing, Japanese-Style"
PAPER MONSTERS RECUT,"Welcome to Paperland!

Dive into the world of Paper Monsters Recut and watch a living world made out of paper, cardboard, and even a few cotton balls unfold right before your eyes.

Paper Monsters Recut mixes classic 2D platformer gameplay with gorgeous 3D graphics and brings it to life in a brand new title for Wii U.

--FEATURES--
-Classic 2D platformer gameplay with gorgeous 3d environments.
-An adorable cast of fun, original characters.
-Tight responsive controls, with super-speed and double jump!
-Old school-style playable overworld, with plenty levels and secrets to unlock along the way.
-Tons of awesome power ups including jetpacks, submarines, lasers and more!
-Collect special treasures to unlock bonus high score mini games.
-Awesome original soundtrack.
-Wii U GamePad special features and support, including Off-TV Play!
-Fun for gamers of any age.","Genre(s): Action, Platformer, 2D"
PARANAUTICAL ACTIVITY,"Paranautical Activity combines the classic FPS action of games like Doom and Quake, with the randomness and difficulty of modern roguelikes like Binding of Isaac and Spelunky.","Genre(s): Action, General, Shooter, First-Person, Arcade"
PEG SOLITAIRE,"In PEG SOLITAIRE, you are presented with a series of puzzles that will test your skills. Players must move their pegs around the game board, ""jumping"" other pegs to remove as many as possible. This exciting classic game dates back to the 1600's, enjoyed by many generations - now is your chance to own a digital version.","Genre(s): Miscellaneous, Board / Card Game"
PENTAPUZZLE,"Get ready for a mental workout: PENTAPUZZLE is a free-to-play puzzle that will ignite the creative center of your brain! This game...? Improves your spatial skills? Has a unique navigation style? Delivers amazing sound composed by Matthew HerbertYou actually get smarter playing PENTAPUZZLE – and it’s not only us saying so. Recent scientific studies have shown that Pentomino games such as PENTAPUZZLE are able to significantly improve the spatial skills of the player. Spatial skills are the ability to mentally manipulate two- and three-dimensional figures and are highly correlated with success in mathematics education.The navigation in PENTAPUZZLE is easy to pick up and fun to master and offers a completely new way of moving 3D objects around on a touchscreen device. By using intuitive single-finger gestures, it’s possible with one continuous move to pick up a puzzle piece, flip it, rotate it and place it in the puzzle challenge. This gives you very fine and fast control of the puzzle pieces once you master the gestures. You can even play the game with one hand using your thumb.The music in PENTAPUZZLE transforms according to the game's progress; as more puzzle pieces are placed in the solution area, new musical layers are added. The intricate composition by Matthew Herbert uses variable length audio samples with changing harmonies, making PENTAPUZZLE a musical puzzle as well as an actual puzzle. We like games to be more than just fun. With PENTAPUZZLE, you’re guaranteed to get a revitalizing mental workout and our ambient setting will make sure you're completely relaxed at the end of your gaming session.Read the full story of the game:http://PENTAPUZZLE.comGet in touch on Facebook:http://facebook.com/PENTAPUZZLEFollow us on Twitter:http://twitter.com/PENTAPUZZLE","Genre(s): Puzzle, Logic"
PERCY'S PREDICAMENT,"Percys Predicament is a casual title for all to enjoy exclusively on the Wii U! Keep the TV on or turn off your TV, the choice is yours!

Percys Predicament is a single player game in which you control Percy Penguin, who has become trapped within a magical orb. You must navigate the course and collect all the fish before the time runs out! Controlling Percy is incredibly simple as the interface relies solely on the GamePads control scheme.

-80 Levels at Launch and six different environments at launch each with their own musical themes.
-Play however you want; you are not limited by your TV.
-Buy once; get all additional content for free. (170 additional levels)","Genre(s): Miscellaneous, Puzzle, Action"
PERPETUAL BLAST,"You are on a mission to destroy the radioactive containers littering the solar system.

Master controlling your spacecraft in the zero-g environments and use your ship's laser cannon and missiles to destroy all containers as fast as possible.

Play on the TV or Wii U GamePad and when you are ready activate gyro aiming and be a part of the game world!","Genre(s): Simulation, Space, Combat"
PETITE ZOMBIES,"Protect your territory from the invasion of petite zombies. For better game convenience, use the stylus.","Genre(s): Action, General"
PHINEAS AND FERB: QUEST FOR COOL STUFF,"Join Phineas and Ferb as they travel to out-of-this-world places in their newest invention, the A.T.T. (All-Terrain Transformatron). This upgradeable, customizable, ultra-cool amphibious ride helps the boys hunt for lost loot to display in their backyard Museum of Cool. Phineas and Ferb: Quest for Cool Stuff features many of the fan-favorite characters from the hit show, including Perry the Platypus -- aka secret Agent P, Candace, Isabella, Buford, Baljeet, and the evil Dr. Doofenshmirtz, who is determined to unleash his latest creation, the ""get-rid-of-cool-stuff-inator"" on the Tri-State Area.","Genre(s): Action Adventure, Fantasy, General, Fantasy"
PIANO TEACHER,"A fun way to learn the piano

Would you like to know how to play the piano?

You could purchase a piano and then learn music theory.

OR

You could just play Piano Teacher!

Piano Teacher is a fun and interactive way to learn the piano.

Designed to take you from a total beginner to a piano playing pro.

Simply use the Touch Screen on the Wii U GamePad. You press the red key on the piano to easily learn 20 different popular songs.

Each song lesson has been carefully crafted by world-renowned pianist and YouTube sensation Jen Msumba.","Genre(s): Miscellaneous, Edutainment"
PIC-A-PIX COLOR,"Pic-a-Pix are exciting logic puzzles that form whimsical pixel-art pictures when solved. Challenging, deductive and artistic, this original Japanese invention offers the ultimate mix of logic, art and fun while providing solvers with many hours of mentally stimulating entertainment.

Pic-a-Pix are sometimes known by other names, such as Picross, Nonogram, Paint by Numbers, Griddlers, Hanjie and many more.

Pic-a-Pix Color adds a new dimension to this popular puzzle by using colored clues to indicate which color each block should be painted. The new rules add a unique twist to the game's logic and the puzzles produce beautiful, colorful pixel art.

This game contains 150 exclusive puzzles, designed by Conceptis Ltd - the world's leading supplier of logic puzzles. Puzzles range in difficulty and size from introductory 5x5 pictures up to huge 20x20 grids!

Extra puzzles are available as Add On Content in a selection of sizes and more downloadable packs are added regularly!

Exclusively on Wii U, hardcore puzzlers can purchase extra ""Giant"" puzzles at massive 30x20 and 35x25 sizes!","Genre(s): Puzzle, Logic"
PICTOPARTY,"Draw, guess and have fun with friends

Gather around for a fun evening with PictoParty! Challenge your friends or family in a game of draw and guess. Take turns and draw the words you see on the gamepad touchscreen the image is simultaneously being plotted live on the TV-screen for everyone to guess.

Choose from existing dictionaries, packed with more than 700 words, or get creative and make your own lists. The possibilities are never-ending!

-Up to 15 players at once but only one Wii U GamePad needed.
-Get creative and add new words.
-All-against-all or team game.
-Family-fun for all ages.","Genre(s): Miscellaneous, Trivia / Game Show"
PIER SOLAR AND THE GREAT ARCHITECTS,"Pier Solar is a love letter to the rich, imaginiative 16-bit RPGs of a bygone era. It was originally designed and developed for the SEGA Mega Drive & SEGA Genesis. Yes, you read that right!! It was actually the only freshly developed of its kind in the new millennium. It's not a port, fan translation, or a copy of any other game. Pier Solar is a 100% brand new, entirely original,16-bit RPG with an original world, storyline, soundtrack, characters, enemies and a unique battle style.","Genre(s): Role-Playing, Console-style RPG, Console-style RPG, Japanese-Style"
PIKMIN 3,"Pikmin 3 is a reimagined, mass-action strategy title from the critically acclaimed Pikmin series. Players take control of 3 explorers and an array of cute Pikmin in a struggle for survival. By exploiting the unique abilities of these little Pikmin creatures, players solve puzzles, battle dangerous predators and forage for food needed to save the explorers' home planet.","Genre(s): Strategy, Real-Time, Fantasy, General, Fantasy"
PINBALL,"Classic PINBALL gameplay with a twist!

Guide the ball around the board collecting points, but be careful not to run out of time or land in the hazard zone. Endless fun for everyone!","Genre(s): Action, Pinball"
PINBALL BREAKOUT,"Pinball Breakout is a breakout game for one or two players combining game mechanics from a traditional breakout game and a flipper game.

Play single player and aim for a high score or two player mode competing against a friend.

Supports Off-TV Play mode.","Genre(s): Action, Arcade, Pinball"
PING 1.5+,"Everyone on the block is playing this game!

PING 1.5+ is a new arcade style puzzle game with the objective of shooting the cube through over 100 stages to reach the orange. Get frustrated in trying to beat all of the stages; this game isn't for the weakhearted. PING 1.5+ mimics the retro days of gaming by having a notoriously hard difficulty curve.

PING is on a mission to save the world against the Spheres. Will he succeed? Only you can decide the world's fate with your ""ultimate master super gaming"" skills.

Game Features
-Over 100 levels
-Original soundtrack by Elkskin
-Off TV Play
-Retro 3D visuals
-HARD","Genre(s): Puzzle, Action, General"
PIRATE POP PLUS,"Retro-style Arcade Action!

Join Pete Jr on his quest to defeat the nefarious Bubble Pirate, an evil villain who has trapped the innocent townsfolk in bubbles! Dodge and pop bubbles with your anchor while collecting power-ups and managing Bubble Pirate's constant gravity-switching mischief! When you feel at your Piratey-est, test your skill in the ultra-challenging Hyper Mode... The game may be faster and harder, but you'll find treasures beyond your wildest dreams. Coins as far as the eye can see! Collect coins to unlock content in the games shop like new music, new faceplates, buttons, backlights, and even characters for your bubble-popping mayhem! Yarr!","Genre(s): Action, Arcade"
PIXEL PAINT,"Create retro pixel art using the Wii U Gamepad and share with the world!

Create your very own pixel art with Pixel Paint! Pixel art is a picture created pixel by pixel - think retro games, and a good portion of current indie games. Base your creation off an old game, or create something entirely new! Pixel Paint includes tools to make it easy:

-Color palettes of some of the biggest retro systems
-Change brush size and shape
-Cut/copy/paste
-Color picker, fill color, and replace color

All of that is wrapped up in an intuitive control scheme that makes creation easy. When your pixel art is complete, share it with the world by posting to Miiverse!","Genre(s): Miscellaneous, General, Edutainment, Application"
PIXEL SLIME U,"PIXEL SLIME U is a unique auto-platformer that challenges you to get the LOWEST score possible. Jump, twist, and glide your way through 40 challenging levels while trying to avoid death. This game will keep you coming back while you compete with others on Miiverse to have the LOWEST score.","Genre(s): Action, Platformer, Arcade, 2D"
PIXELJUNK MONSTERS,"Inspired by the popular and addictive ""tower defense"" genre, PixelJunk Monsters takes the simple real-time strategy concept of building, researching and base defending and presents it in a uniquely attractive style. With meticulously hand-drawn 2D art, PixelJunk Monsters recreates the look of a classic with crisp graphics designed for optimal viewing in Full 1080p HD.","Genre(s): Strategy, Real-Time, Defense"
PIXELMAKER,"PixelMaker is a drawing program designed specifically for making pixel art!

Using easy to use tools on your Wii U GamePad, you can design images as simple or as complex as you like. Experiment, create characters and scenes based on your favourite classic video games, or draw something straight out of your own imagination. Finally, share your pixel art creations with your friends on Miiverse!","Genre(s): Miscellaneous, Edutainment, Application"
PIXELMAKER STUDIO,"PixelMaker Studio - imagine, draw, and animate your own pixel art creations!

PixelMaker Studio is a drawing program designed specifically for making pixel art images, animations and tile-based scenes!

Using easy to use tools on your Wii U GamePad, you can design images as simple or as complex as you like. Experiment, and create characters and scenes based on your favorite classic video games, or draw straight out of your own imagination!

Zoom in on the GamePad while seeing your whole image on the TV.

Create multi-frame animated images and watch them come to life.

Design sets of image tiles and use them to create large, complex scenes.

Support for multi-layer drawing of images and animations.

Cut/Copy/Paste selections with flip and rotate options.

Fill by selection, flood-fill or replace all of a color.

Draw and erase with multiple brush sizes.

Pixel-perfect line and stroke drawing modes.

Export PNG images and scenes to SD Card.

Undo/Redo and image auto-save and restore.

Palette-based color management with a number of classic samples.

Choose colors visually, by exact RGB, or pick from the image.

Optional grid overlay.","Genre(s): Miscellaneous, Edutainment, Application"
PIXLCROSS,"150+ nonograms on the Wii U GamePad. Robust Puzzle Editor & community sharing. Extensive Miiverse integration.

PixlCross is a nonogram puzzle game (eg Picross) where you use hints to fill in a grid and reveal a hidden image. With 150+ puzzles and 4 levels of difficulty, there's a diverse array of content with puzzles spanning from 5x5 to 35x35.

But don't worry, you won't have to solve the big ones all in one go. PixlCross saves each move and allows you to jump back in whenever you want. If you ever get stuck, the hint system can get you back on your way.

The Wii U GamePad makes puzzle solving intuitive: simply touch and slide along the grid to fill in and cross out boxes. Pop-out hints, boxes that count as you fill and auto-scroll make it even easier to tackle the toughest of puzzles.

At any time you can hop over to the Puzzle Editor and begin creating puzzles of your own! With the power to detect ambiguities, you can create puzzles that can be solved without guessing. If creating isn't for you, just search for puzzles or enter puzzle IDs found on Miiverse/social media to keep on playing!","Genre(s): Puzzle, Logic"
